"postiid","kandidatiname","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"179643115493444_656974914426926","RamushHaradinajOfficial","2017-10-14 14:54:59","598","599","7","13"
"179643115493444_657012161089868","RamushHaradinajOfficial","2017-10-14 16:19:54","530","530","4","3"
"179643115493444_657076397750111","RamushHaradinajOfficial","2017-10-14 18:37:42","637","638","9","8"
"179643115493444_657460527711698","RamushHaradinajOfficial","2017-10-15 13:10:32","542","544","6","12"
"179643115493444_657480227709728","RamushHaradinajOfficial","2017-10-15 14:05:41","673","675","12","7"
"179643115493444_657917630999321","RamushHaradinajOfficial","2017-10-16 10:43:42","3042","3055","57","32"
"179643115493444_658054480985636","RamushHaradinajOfficial","2017-10-16 16:42:36","1667","1682","34","36"
"179643115493444_658090440982040","RamushHaradinajOfficial","2017-10-16 17:49:26","567","572","3","4"
"179643115493444_658185484305869","RamushHaradinajOfficial","2017-10-16 21:46:41","932","942","17","7"
"179643115493444_658512930939791","RamushHaradinajOfficial","2017-10-17 14:28:57","1129","1137","18","33"
"179643115493444_658681127589638","RamushHaradinajOfficial","2017-10-17 20:56:55","601","606","5","2"
"179643115493444_658940584230359","RamushHaradinajOfficial","2017-10-18 11:02:23","459","460","5","5"
"179643115493444_659050730886011","RamushHaradinajOfficial","2017-10-18 15:47:12","430","432","0","5"
"179643115493444_659064940884590","RamushHaradinajOfficial","2017-10-18 16:21:37","867","878","26","16"
"179643115493444_659436084180809","RamushHaradinajOfficial","2017-10-19 11:06:42","466","469","11","11"
"179643115493444_659465930844491","RamushHaradinajOfficial","2017-10-19 12:38:59","984","990","9","6"
"179643115493444_659486030842481","RamushHaradinajOfficial","2017-10-19 13:38:37","421","426","2","8"
"179643115493444_659534197504331","RamushHaradinajOfficial","2017-10-19 15:39:55","2448","2469","19","31"
"179643115493444_659569057500845","RamushHaradinajOfficial","2017-10-19 16:38:08","713","741","8","16"
"179643115493444_659569284167489","RamushHaradinajOfficial","2017-10-19 16:25:31","597","607","3","4"
"179643115493444_660079334116484","RamushHaradinajOfficial","2017-10-20 16:09:28","997","1001","9","6"
"179643115493444_660192377438513","RamushHaradinajOfficial","2017-10-20 20:41:46","268","270","4","0"
"179643115493444_660607250730359","RamushHaradinajOfficial","2017-10-21 16:35:26","8534","8675","357","140"
"179643115493444_660995564024861","RamushHaradinajOfficial","2017-10-22 11:17:42","1726","1738","24","29"
"179643115493444_661530913971326","RamushHaradinajOfficial","2017-10-23 13:22:59","2247","2260","16","17"
"179643115493444_661710480620036","RamushHaradinajOfficial","2017-10-23 20:35:48","1299","1306","3","8"
"179643115493444_661735410617543","RamushHaradinajOfficial","2017-10-23 21:28:01","637","639","0","4"
"179643115493444_662221060568978","RamushHaradinajOfficial","2017-10-24 16:48:02","1152","1164","19","19"
"179643115493444_662789167178834","RamushHaradinajOfficial","2017-10-25 15:52:23","1214","1225","10","23"
"179643115493444_662879867169764","RamushHaradinajOfficial","2017-10-25 18:40:54","747","749","4","5"
"179643115493444_663304330460651","RamushHaradinajOfficial","2017-10-26 14:10:36","642","645","12","9"
"179643115493444_663354167122334","RamushHaradinajOfficial","2017-10-26 15:54:22","531","535","11","8"
"179643115493444_664431103681307","RamushHaradinajOfficial","2017-10-28 14:11:55","805","817","14","15"
"179643115493444_665623560228728","RamushHaradinajOfficial","2017-10-30 14:51:06","1966","1976","24","19"
"179643115493444_665699466887804","RamushHaradinajOfficial","2017-10-30 17:40:37","705","707","8","10"
"179643115493444_665762713548146","RamushHaradinajOfficial","2017-10-30 20:16:58","1090","1107","24","13"
"179643115493444_666290806828670","RamushHaradinajOfficial","2017-10-31 18:57:34","928","939","25","33"
"179643115493444_666583623466055","RamushHaradinajOfficial","2017-11-01 09:45:52","573","596","8","4"
"179643115493444_666591776798573","RamushHaradinajOfficial","2017-11-01 10:08:29","1410","1424","25","30"
"179643115493444_666894550101629","RamushHaradinajOfficial","2017-11-01 21:49:03","1050","1059","5","9"
"179643115493444_667191720071912","RamushHaradinajOfficial","2017-11-02 13:17:19","333","336","6","7"
"179643115493444_667258070065277","RamushHaradinajOfficial","2017-11-02 15:36:06","691","694","17","13"
"179643115493444_668230439968040","RamushHaradinajOfficial","2017-11-04 12:17:42","6476","6548","257","112"
"179643115493444_668880979902986","RamushHaradinajOfficial","2017-11-05 16:28:06","2131","2156","60","66"
"179643115493444_669288813195536","RamushHaradinajOfficial","2017-11-06 10:50:57","5644","5731","379","317"
"220997878400104_279218942577997","albini2017","2017-09-26 15:29:03","1451","1497","38","60"
"220997878400104_279267042573187","albini2017","2017-09-26 18:25:22","1272","1311","23","81"
"220997878400104_279317439234814","albini2017","2017-09-26 21:29:55","1077","1128","27","29"
"220997878400104_279519479214610","albini2017","2017-09-27 13:40:59","802","831","14","36"
"220997878400104_279823839184174","albini2017","2017-09-28 11:12:04","1483","1555","62","82"
"220997878400104_279836819182876","albini2017","2017-09-28 11:55:04","1370","1426","55","93"
"220997878400104_280191865814038","albini2017","2017-09-29 14:46:08","1423","1481","49","46"
"220997878400104_280298632470028","albini2017","2017-09-29 21:05:24","1151","1184","44","70"
"220997878400104_280927179073840","albini2017","2017-10-01 10:25:56","3533","3629","42","191"
"220997878400104_281124545720770","albini2017","2017-10-01 21:03:32","1858","1928","29","128"
"220997878400104_281389442360947","albini2017","2017-10-02 12:42:25","1047","1099","14","24"
"220997878400104_281529119013646","albini2017","2017-10-02 20:48:47","1080","1136","9","28"
"220997878400104_281695355663689","albini2017","2017-10-03 09:37:01","1460","1511","60","138"
"220997878400104_282495975583627","albini2017","2017-10-05 14:56:17","619","635","9","33"
"220997878400104_282515795581645","albini2017","2017-10-05 15:33:13","670","684","5","16"
"220997878400104_282794165553808","albini2017","2017-10-06 12:59:11","1131","1196","31","79"
"220997878400104_283172145516010","albini2017","2017-10-07 12:05:17","1739","1814","46","64"
"220997878400104_283250938841464","albini2017","2017-10-07 17:00:02","1022","1057","20","44"
"220997878400104_283556098810948","albini2017","2017-10-08 10:03:12","810","830","16","33"
"220997878400104_283744272125464","albini2017","2017-10-08 20:19:28","1539","1626","55","148"
"220997878400104_284341492065742","albini2017","2017-10-10 14:23:13","1774","1865","41","76"
"220997878400104_284413078725250","albini2017","2017-10-10 17:03:21","793","827","17","34"
"220997878400104_284448792055012","albini2017","2017-10-10 21:00:00","925","971","38","46"
"220997878400104_284662358700322","albini2017","2017-10-11 11:00:02","979","1030","30","35"
"220997878400104_285032158663342","albini2017","2017-10-12 12:41:16","528","553","11","29"
"220997878400104_285083418658216","albini2017","2017-10-12 16:07:14","7124","7415","224","329"
"220997878400104_285392195294005","albini2017","2017-10-13 12:53:37","713","739","20","35"
"220997878400104_285493748617183","albini2017","2017-10-13 19:56:47","3856","4049","313","575"
"220997878400104_285513231948568","albini2017","2017-10-13 18:58:07","681","705","3","14"
"220997878400104_285757481924143","albini2017","2017-10-14 12:00:01","702","721","4","11"
"220997878400104_286376961862195","albini2017","2017-10-15 23:10:33","1449","1506","34","87"
"220997878400104_286617981838093","albini2017","2017-10-16 15:19:46","497","516","3","12"
"220997878400104_286889908477567","albini2017","2017-10-17 09:30:01","1044","1089","23","28"
"220997878400104_286908051809086","albini2017","2017-10-17 10:39:43","676","705","17","24"
"220997878400104_287320811767810","albini2017","2017-10-18 13:48:43","578","612","16","13"
"220997878400104_287377165095508","albini2017","2017-10-18 16:42:38","1251","1309","19","26"
"220997878400104_287675278399030","albini2017","2017-10-19 12:44:33","1134","1186","35","78"
"220997878400104_287675771732314","albini2017","2017-10-19 14:30:01","750","788","14","38"
"220997878400104_287854398381118","albini2017","2017-10-19 22:58:11","535","561","10","28"
"220997878400104_288022418364316","albini2017","2017-10-20 12:38:04","427","445","13","5"
"220997878400104_288027438363814","albini2017","2017-10-20 13:40:00","585","621","12","12"
"220997878400104_288045408362017","albini2017","2017-10-20 15:20:02","463","496","13","14"
"220997878400104_288083475024877","albini2017","2017-10-20 16:04:49","1532","1601","56","78"
"220997878400104_288101351689756","albini2017","2017-10-20 17:39:02","960","1009","39","29"
"220997878400104_288201768346381","albini2017","2017-10-20 23:23:51","2129","2301","104","284"
"220997878400104_288576058308952","albini2017","2017-10-22 02:19:52","518","550","13","41"
"220997878400104_288761734957051","albini2017","2017-10-22 09:48:38","3583","3764","123","95"
"220997878400104_289332431566648","albini2017","2017-10-23 22:10:38","2907","3061","224","147"
"220997878400104_289954681504423","albini2017","2017-10-25 19:20:08","1108","1145","52","115"
"220997878400104_294011164432108","albini2017","2017-11-05 18:48:04","617","645","8","47"
"220997878400104_294045567762001","albini2017","2017-11-05 21:12:49","751","818","22","132"
"538814499513242_1664833560244658","avdullah.hoti","2017-09-26 08:54:40","110","110","0","11"
"538814499513242_1664866190241395","avdullah.hoti","2017-09-26 10:01:22","155","156","2","5"
"538814499513242_1665032423558105","avdullah.hoti","2017-09-26 13:56:48","455","456","2","11"
"538814499513242_1665272556867425","avdullah.hoti","2017-09-26 19:21:04","203","205","2","0"
"538814499513242_1665313196863361","avdullah.hoti","2017-09-26 20:25:13","284","285","1","17"
"538814499513242_1665437546850926","avdullah.hoti","2017-09-26 23:16:42","249","251","0","16"
"538814499513242_1665458783515469","avdullah.hoti","2017-09-26 23:48:39","311","312","0","2"
"538814499513242_1665762466818434","avdullah.hoti","2017-09-27 09:14:46","184","185","0","9"
"538814499513242_1665847726809908","avdullah.hoti","2017-09-27 11:44:11","115","115","0","2"
"538814499513242_1666037703457577","avdullah.hoti","2017-09-27 20:30:07","146","146","2","23"
"538814499513242_1666141363447211","avdullah.hoti","2017-09-27 18:30:52","173","175","0","3"
"538814499513242_1666358213425526","avdullah.hoti","2017-09-28 00:10:59","339","340","1","4"
"538814499513242_1666360186758662","avdullah.hoti","2017-09-28 00:13:47","139","139","0","2"
"538814499513242_1666361586758522","avdullah.hoti","2017-09-28 00:15:40","136","136","0","3"
"538814499513242_1666364330091581","avdullah.hoti","2017-09-28 00:20:18","149","149","0","0"
"538814499513242_1666367933424554","avdullah.hoti","2017-09-28 00:25:28","176","177","0","17"
"538814499513242_1666641013397246","avdullah.hoti","2017-09-28 08:41:36","61","61","0","1"
"538814499513242_1666782623383085","avdullah.hoti","2017-09-28 13:24:19","368","371","7","13"
"538814499513242_1666791460048868","avdullah.hoti","2017-09-28 13:38:53","358","361","1","11"
"538814499513242_1666797310048283","avdullah.hoti","2017-09-28 13:47:21","61","62","0","0"
"538814499513242_1666814610046553","avdullah.hoti","2017-09-28 14:14:38","80","80","0","0"
"538814499513242_1666863093375038","avdullah.hoti","2017-09-28 15:23:48","379","379","3","4"
"538814499513242_1667023593358988","avdullah.hoti","2017-09-28 19:01:44","661","665","9","3"
"538814499513242_1667026063358741","avdullah.hoti","2017-09-28 19:05:56","430","432","7","2"
"538814499513242_1667091436685537","avdullah.hoti","2017-09-28 20:34:40","178","178","0","7"
"538814499513242_1667101746684506","avdullah.hoti","2017-09-28 20:48:04","304","305","0","6"
"538814499513242_1667143806680300","avdullah.hoti","2017-09-28 21:39:06","381","383","10","5"
"538814499513242_1667169950011019","avdullah.hoti","2017-09-28 22:23:10","455","455","2","4"
"538814499513242_1667176373343710","avdullah.hoti","2017-09-28 22:33:38","213","213","1","11"
"538814499513242_1667544049973609","avdullah.hoti","2017-09-29 08:31:01","69","69","0","0"
"538814499513242_1667961583265189","avdullah.hoti","2017-09-29 18:27:14","207","207","0","17"
"538814499513242_1667993039928710","avdullah.hoti","2017-09-29 19:12:26","202","202","1","0"
"538814499513242_1668006206594060","avdullah.hoti","2017-09-29 19:26:42","186","187","1","3"
"538814499513242_1668047119923302","avdullah.hoti","2017-09-29 20:24:11","228","229","6","0"
"538814499513242_1668048409923173","avdullah.hoti","2017-09-29 20:26:07","158","158","2","1"
"538814499513242_1668101673251180","avdullah.hoti","2017-09-29 21:30:23","71","71","0","0"
"538814499513242_1668106589917355","avdullah.hoti","2017-09-29 21:36:14","393","393","4","3"
"538814499513242_1668530689874945","avdullah.hoti","2017-09-30 08:49:12","69","69","0","2"
"538814499513242_1668538306540850","avdullah.hoti","2017-09-30 09:06:07","85","85","0","3"
"538814499513242_1668617609866253","avdullah.hoti","2017-09-30 11:28:46","218","220","10","35"
"538814499513242_1668688846525796","avdullah.hoti","2017-09-30 13:27:12","104","104","0","0"
"538814499513242_1668689899859024","avdullah.hoti","2017-09-30 13:28:34","189","189","3","0"
"538814499513242_1668695196525161","avdullah.hoti","2017-09-30 13:36:26","60","60","0","0"
"538814499513242_1668716649856349","avdullah.hoti","2017-09-30 14:08:41","124","124","0","10"
"538814499513242_1668721006522580","avdullah.hoti","2017-09-30 14:15:26","103","103","0","0"
"538814499513242_1668943353167012","avdullah.hoti","2017-09-30 17:52:56","660","662","4","2"
"538814499513242_1668955063165841","avdullah.hoti","2017-09-30 18:04:13","304","306","0","5"
"538814499513242_1668966929831321","avdullah.hoti","2017-09-30 18:14:49","238","239","1","1"
"538814499513242_1669201926474488","avdullah.hoti","2017-09-30 22:33:30","131","132","0","0"
"538814499513242_1669268396467841","avdullah.hoti","2017-09-30 23:54:58","1092","1093","16","13"
"538814499513242_1669712599756754","avdullah.hoti","2017-10-01 12:05:46","76","76","0","1"
"538814499513242_1669753713085976","avdullah.hoti","2017-10-01 13:02:09","112","112","0","7"
"538814499513242_1669793456415335","avdullah.hoti","2017-10-01 14:04:22","346","346","3","2"
"538814499513242_1669844093076938","avdullah.hoti","2017-10-01 14:17:56","206","207","1","0"
"538814499513242_1669860909741923","avdullah.hoti","2017-10-01 14:35:12","68","68","0","0"
"538814499513242_1669900036404677","avdullah.hoti","2017-10-01 15:21:33","209","209","2","2"
"538814499513242_1669970139731000","avdullah.hoti","2017-10-01 16:51:50","301","301","2","0"
"538814499513242_1670053723055975","avdullah.hoti","2017-10-01 18:39:07","124","124","0","4"
"538814499513242_1670207006373980","avdullah.hoti","2017-10-01 21:32:43","191","191","1","8"
"538814499513242_1670318079696206","avdullah.hoti","2017-10-01 23:42:11","281","283","1","5"
"538814499513242_1670327736361907","avdullah.hoti","2017-10-01 23:54:06","98","98","0","0"
"538814499513242_1670790369648977","avdullah.hoti","2017-10-02 13:05:20","64","64","1","0"
"538814499513242_1671033429624671","avdullah.hoti","2017-10-02 18:39:34","106","107","0","3"
"538814499513242_1671071572954190","avdullah.hoti","2017-10-02 19:30:38","88","88","0","2"
"538814499513242_1671073832953964","avdullah.hoti","2017-10-03 10:00:50","102","102","0","14"
"538814499513242_1671075746287106","avdullah.hoti","2017-10-02 19:36:52","272","273","1","1"
"538814499513242_1671095812951766","avdullah.hoti","2017-10-02 20:06:34","433","433","4","2"
"538814499513242_1671714402889907","avdullah.hoti","2017-10-03 13:18:14","289","290","1","0"
"538814499513242_1671789479549066","avdullah.hoti","2017-10-03 14:47:50","99","99","2","1"
"538814499513242_1671854942875853","avdullah.hoti","2017-10-03 16:24:17","110","111","0","0"
"538814499513242_1671960632865284","avdullah.hoti","2017-10-03 18:54:49","152","153","6","5"
"538814499513242_1671996582861689","avdullah.hoti","2017-10-03 19:51:18","148","148","2","2"
"538814499513242_1672097576184923","avdullah.hoti","2017-10-03 22:37:35","473","474","18","6"
"538814499513242_1672105459517468","avdullah.hoti","2017-10-03 22:49:55","227","228","3","0"
"538814499513242_1672972069430807","avdullah.hoti","2017-10-04 20:14:29","577","578","4","31"
"538814499513242_1672993949428619","avdullah.hoti","2017-10-04 20:47:10","514","516","6","10"
"538814499513242_1672996409428373","avdullah.hoti","2017-10-04 20:50:42","263","264","0","7"
"538814499513242_1673002722761075","avdullah.hoti","2017-10-04 20:59:48","447","449","1","0"
"538814499513242_1673052739422740","avdullah.hoti","2017-10-04 22:12:48","856","859","11","1"
"538814499513242_1673787092682638","avdullah.hoti","2017-10-05 18:26:41","146","146","0","2"
"538814499513242_1673894256005255","avdullah.hoti","2017-10-05 20:51:53","159","159","0","4"
"538814499513242_1673899122671435","avdullah.hoti","2017-10-05 20:58:33","306","306","1","5"
"538814499513242_1673905189337495","avdullah.hoti","2017-10-05 21:07:14","322","322","0","1"
"538814499513242_1673914899336524","avdullah.hoti","2017-10-05 21:17:31","424","425","0","8"
"538814499513242_1674588312602516","avdullah.hoti","2017-10-06 15:40:58","164","165","0","2"
"538814499513242_1674631745931506","avdullah.hoti","2017-10-06 16:45:15","175","176","0","7"
"538814499513242_1674676425927038","avdullah.hoti","2017-10-06 17:30:59","192","193","1","10"
"538814499513242_1674792642582083","avdullah.hoti","2017-10-06 19:52:07","122","123","0","1"
"538814499513242_1674806632580684","avdullah.hoti","2017-10-06 20:08:32","124","125","4","0"
"538814499513242_1675266865867994","avdullah.hoti","2017-10-07 09:01:33","95","96","0","4"
"538814499513242_1675504099177604","avdullah.hoti","2017-10-07 15:02:47","253","254","0","1"
"538814499513242_1675532049174809","avdullah.hoti","2017-10-07 15:40:55","355","363","30","6"
"538814499513242_1675666865827994","avdullah.hoti","2017-10-07 18:34:01","150","150","1","0"
"538814499513242_1675675075827173","avdullah.hoti","2017-10-07 18:41:01","191","192","1","0"
"538814499513242_1675701879157826","avdullah.hoti","2017-10-07 19:17:40","318","319","1","12"
"538814499513242_1675869425807738","avdullah.hoti","2017-10-07 23:31:02","210","212","0","1"
"538814499513242_1675873725807308","avdullah.hoti","2017-10-07 23:38:00","79","80","0","0"
"538814499513242_1675899349138079","avdullah.hoti","2017-10-08 00:20:23","182","183","2","1"
"538814499513242_1675905279137486","avdullah.hoti","2017-10-08 00:29:24","531","533","5","5"
"538814499513242_1676258849102129","avdullah.hoti","2017-10-08 10:15:25","241","243","2","7"
"538814499513242_1676260202435327","avdullah.hoti","2017-10-08 10:16:36","209","210","1","4"
"538814499513242_1676266852434662","avdullah.hoti","2017-10-08 10:20:11","353","354","8","6"
"538814499513242_1676272112434136","avdullah.hoti","2017-10-08 10:30:35","93","94","0","0"
"538814499513242_1676495865745094","avdullah.hoti","2017-10-08 16:06:30","157","158","0","2"
"538814499513242_1676502339077780","avdullah.hoti","2017-10-08 16:15:49","183","184","3","2"
"538814499513242_1676871072374240","avdullah.hoti","2017-10-09 09:00:53","180","181","0","1"
"538814499513242_1676874422373905","avdullah.hoti","2017-10-09 10:00:22","203","204","2","4"
"538814499513242_1676879985706682","avdullah.hoti","2017-10-09 09:30:35","189","190","0","0"
"538814499513242_1676883519039662","avdullah.hoti","2017-10-09 00:48:36","170","171","1","2"
"538814499513242_1676885612372786","avdullah.hoti","2017-10-09 09:10:39","67","68","0","1"
"538814499513242_1677760485618632","avdullah.hoti","2017-10-09 22:06:33","459","461","7","5"
"538814499513242_1677776518950362","avdullah.hoti","2017-10-09 22:26:28","59","60","0","0"
"538814499513242_1678169942244353","avdullah.hoti","2017-10-10 08:16:48","182","183","0","4"
"538814499513242_1678170975577583","avdullah.hoti","2017-10-10 08:19:48","144","145","2","1"
"538814499513242_1678236595571021","avdullah.hoti","2017-10-10 10:23:37","63","64","0","0"
"538814499513242_1678356425559038","avdullah.hoti","2017-10-10 13:43:48","55","56","0","0"
"538814499513242_1678440265550654","avdullah.hoti","2017-10-10 15:21:07","171","172","0","0"
"538814499513242_1678509545543726","avdullah.hoti","2017-10-10 16:42:19","162","163","3","21"
"538814499513242_1678635905531090","avdullah.hoti","2017-10-10 19:13:08","195","196","3","5"
"538814499513242_1678642605530420","avdullah.hoti","2017-10-10 19:22:19","177","178","2","1"
"538814499513242_1678647972196550","avdullah.hoti","2017-10-10 19:29:22","44","45","0","0"
"538814499513242_1678649368863077","avdullah.hoti","2017-10-10 19:31:13","33","34","0","0"
"538814499513242_1678655005529180","avdullah.hoti","2017-10-10 19:39:02","265","266","1","2"
"538814499513242_1678673885527292","avdullah.hoti","2017-10-10 20:06:25","123","124","6","4"
"538814499513242_1678807448847269","avdullah.hoti","2017-10-10 22:59:03","60","61","0","0"
"538814499513242_1678819515512729","avdullah.hoti","2017-10-10 23:17:06","113","113","0","0"
"538814499513242_1678837455510935","avdullah.hoti","2017-10-11 11:00:04","144","146","5","3"
"538814499513242_1678851952176152","avdullah.hoti","2017-10-11 09:00:51","128","129","3","6"
"538814499513242_1679397565454924","avdullah.hoti","2017-10-11 15:08:16","227","229","2","14"
"538814499513242_1679619778766036","avdullah.hoti","2017-10-11 20:06:18","153","154","0","2"
"538814499513242_1679722375422443","avdullah.hoti","2017-10-11 22:36:06","248","249","1","3"
"538814499513242_1679725672088780","avdullah.hoti","2017-10-11 22:40:28","388","389","11","8"
"538814499513242_1679730538754960","avdullah.hoti","2017-10-11 22:48:05","146","147","1","2"
"538814499513242_1679747685419912","avdullah.hoti","2017-10-11 23:20:01","28","29","0","0"
"538814499513242_1679748292086518","avdullah.hoti","2017-10-11 23:20:58","32","33","0","0"
"538814499513242_1679780038750010","avdullah.hoti","2017-10-12 11:00:10","35","36","0","5"
"538814499513242_1679782745416406","avdullah.hoti","2017-10-12 08:00:48","72","73","0","1"
"538814499513242_1680346872026660","avdullah.hoti","2017-10-12 15:56:19","199","200","0","0"
"538814499513242_1680347535359927","avdullah.hoti","2017-10-12 15:57:29","9","9","0","0"
"538814499513242_1680539465340734","avdullah.hoti","2017-10-12 19:51:30","425","427","2","5"
"538814499513242_1681075435287137","avdullah.hoti","2017-10-13 10:52:49","100","101","1","5"
"538814499513242_1681265165268164","avdullah.hoti","2017-10-13 14:57:21","156","157","0","0"
"538814499513242_1681301415264539","avdullah.hoti","2017-10-13 15:38:18","929","936","25","11"
"538814499513242_1681435908584423","avdullah.hoti","2017-10-13 18:07:18","344","345","1","0"
"538814499513242_1681445325250148","avdullah.hoti","2017-10-13 18:16:57","331","332","0","1"
"538814499513242_1681487195245961","avdullah.hoti","2017-10-13 19:11:42","137","138","0","2"
"538814499513242_1681509568577057","avdullah.hoti","2017-10-13 19:43:45","105","106","2","0"
"538814499513242_1681583131903034","avdullah.hoti","2017-10-13 21:27:04","392","395","4","1"
"538814499513242_1681594458568568","avdullah.hoti","2017-10-13 21:42:44","190","192","0","8"
"538814499513242_1681676921893655","avdullah.hoti","2017-10-14 10:00:53","70","71","0","0"
"538814499513242_1682018101859537","avdullah.hoti","2017-10-14 09:01:33","136","137","0","0"
"538814499513242_1682429318485082","avdullah.hoti","2017-10-14 18:45:07","376","378","6","2"
"538814499513242_1682548865139794","avdullah.hoti","2017-10-14 21:39:23","375","376","2","13"
"538814499513242_1682557615138919","avdullah.hoti","2017-10-14 21:53:04","419","421","3","15"
"538814499513242_1682632601798087","avdullah.hoti","2017-10-15 11:00:41","125","126","0","0"
"538814499513242_1683024361758911","avdullah.hoti","2017-10-15 12:04:01","4","5","0","0"
"538814499513242_1683152778412736","avdullah.hoti","2017-10-15 14:19:33","79","80","0","0"
"538814499513242_1683295811731766","avdullah.hoti","2017-10-15 17:41:34","236","238","0","10"
"538814499513242_1683395301721817","avdullah.hoti","2017-10-15 19:52:07","198","199","0","0"
"538814499513242_1683396878388326","avdullah.hoti","2017-10-15 19:54:00","717","721","15","14"
"538814499513242_1683422688385745","avdullah.hoti","2017-10-15 20:29:32","126","127","0","5"
"538814499513242_1683441601717187","avdullah.hoti","2017-10-15 20:56:01","138","139","0","1"
"538814499513242_1683527508375263","avdullah.hoti","2017-10-15 22:43:53","318","319","2","3"
"538814499513242_1683556305039050","avdullah.hoti","2017-10-15 23:35:57","176","177","0","3"
"538814499513242_1683567651704582","avdullah.hoti","2017-10-15 23:56:20","48","49","0","0"
"538814499513242_1684037748324239","avdullah.hoti","2017-10-16 13:29:20","40","41","0","0"
"538814499513242_1684039121657435","avdullah.hoti","2017-10-16 13:31:41","699","701","4","5"
"538814499513242_1684045171656830","avdullah.hoti","2017-10-16 13:40:39","568","569","0","2"
"538814499513242_1684199671641380","avdullah.hoti","2017-10-16 17:00:19","188","190","2","1"
"538814499513242_1684233968304617","avdullah.hoti","2017-10-16 17:48:57","167","169","1","4"
"538814499513242_1684285144966166","avdullah.hoti","2017-10-16 19:04:53","58","59","0","6"
"538814499513242_1684288388299175","avdullah.hoti","2017-10-16 19:09:54","842","848","11","34"
